feature,mean_abs_shap
card1_fraud_rate,1.3201985
card1_txn_count,0.44721407
C13,0.34306493
day,0.28003398
C1,0.17715102
C14,0.15351695
D1,0.14179227
TransactionAmt,0.14019765
D15,0.1352761
C11,0.13075005
P_emaildomain,0.12362882
addr1,0.122040756
D4,0.11953538
M6,0.11629917
D2,0.112119846
M5,0.10884962
card1,0.105557784
C2,0.10330856
dist1,0.103271596
C5,0.10255945
V70,0.10216364
card1_freq,0.101868674
addr1_freq,0.09882309
card1_amt_mean,0.097511455
amount_vs_card1_mean,0.09637945
D10,0.095876694
card2_freq,0.09513999
hour_sin,0.08797642
D11,0.08696998
amount_cents,0.08593822
card1_amt_std,0.0855632
amount_vs_card1_z,0.08541792
ProductCD,0.08410732
V91,0.08161499
card2,0.08122494
D3,0.08115789
V294,0.08057147
C6,0.07848164
M4,0.07674204
P_emaildomain_top_fraud_rate,0.068166494
R_emaildomain_top_fraud_rate,0.06305038
hour_cos,0.060833905
M3,0.055762555
C9,0.05297229
V258,0.05284527
hour,0.05229184
card5,0.04294781
id_02,0.04284284
D5,0.042754974
V285,0.036777977
DeviceInfo,0.03613213
V82,0.03432767
dow,0.032498803
D8,0.032429587
V307,0.032056406
id_19,0.03085561
V130,0.030594483
D13,0.029801004
V11,0.029696552
V310,0.029690122
V62,0.028329138
amount_log,0.026921842
V54,0.026722912
C12,0.02611896
id_20,0.026102282
V49,0.025476525
V83,0.025365375
C8,0.025069281
V173,0.024893505
id_06,0.024460725
id_30,0.023998685
M8,0.023122735
id_31,0.022607975
M9,0.0224661
day_of_dataset,0.022372048
V312,0.022210728
V317,0.021889953
V45,0.021788575
V281,0.02063936
V316,0.020067101
V76,0.020005262
V131,0.019951874
V308,0.019458463
card5_freq,0.01929588
C10,0.018850436
V67,0.01853418
V172,0.018071089
id_05,0.017735224
V53,0.01760116
V69,0.017104495
amount_is_round,0.017036682
D14,0.016660875
id_13,0.016367672
R_emaildomain,0.015891865
V48,0.015807552
D6,0.015804492
V29,0.015757924
V133,0.015705947
V10,0.015691493
V12,0.015581984
V313,0.015267215
V266,0.015248726
V5,0.0152274445
V283,0.01461656
V165,0.014560971
id_01,0.014363388
V128,0.014203891
V314,0.014048373
card6,0.013920397
V55,0.012910408
V87,0.012823284
V224,0.012478653
V99,0.012376198
V75,0.012288893
V90,0.012029084
V96,0.011992144
V187,0.011950013
DeviceType,0.0118701905
V20,0.011717882
C3,0.011622011
V291,0.0115640545
M7,0.0111356275
V77,0.011113415
V127,0.010996264
id_14,0.010958843
V124,0.010692872
V61,0.010686742
V30,0.010461946
V38,0.010446756
V290,0.010400811
V35,0.010337216
V102,0.0102266455
id_33,0.010200804
C4,0.0101312185
V315,0.010088791
card4,0.0099857235
M2,0.009739202
V13,0.009696107
V206,0.009427464
V94,0.009384674
V2,0.009104934
V320,0.008971511
V79,0.008903476
V132,0.008799843
V129,0.008795371
V36,0.008744567
V19,0.008720383
D9,0.008334203
V4,0.008298285
V136,0.008117356
V282,0.008062234
V205,0.0077631157
V269,0.0076668593
V126,0.007645974
V56,0.0073463125
V309,0.0073005813
id_17,0.0072255144
V336,0.007194049
V257,0.0070371404
V218,0.0070229485
V296,0.0070175733
V86,0.0068737986
V293,0.0067552137
D12,0.006623714
V225,0.006594083
V78,0.0063285953
V306,0.0062328936
V221,0.006125961
V58,0.005942442
V201,0.005933381
V44,0.0058877594
V311,0.0057955896
identity_field_count,0.005657875
V6,0.0054627573
V267,0.0051443
V66,0.005114839
V81,0.00510527
V24,0.0049405363
card3,0.0046901545
V156,0.0046851262
V64,0.0045004715
V74,0.004340564
V170,0.0041122753
V37,0.004027622
id_03,0.004021706
V264,0.003985772
V23,0.0039767576
V47,0.003970778
V25,0.0038992034
V7,0.0038770344
id_37,0.0037560815
V243,0.0037032044
V260,0.003697339
V231,0.0036934838
V162,0.0035753434
V134,0.0035435315
V261,0.0035380416
V265,0.0034631875
V178,0.0034248764
V280,0.0034216922
V209,0.0034211983
V135,0.0034024075
V219,0.0033325127
C7,0.0032604057
id_32,0.0032519815
V51,0.0031389445
V34,0.0031075198
id_15,0.0030607346
V149,0.0029990827
V180,0.0029004032
V33,0.0028440915
V71,0.0026606454
V40,0.0026603374
V189,0.0026383349
id_09,0.00263502
V276,0.002602674
V152,0.002600139
V15,0.0025976335
V8,0.0025842541
V203,0.0025789745
V52,0.0025769833
V321,0.0025708878
V277,0.0025254434
V57,0.002461264
V177,0.0024111548
V95,0.002392683
V289,0.0023346927
V230,0.002294039
V140,0.0022392152
V145,0.002226866
V137,0.0022140287
id_38,0.0022029772
id_11,0.0021932859
V50,0.002172999
V26,0.0021710251
V72,0.0021659287
V318,0.0021634703
V292,0.0021537095
V160,0.002131988
V245,0.0021130159
V60,0.0020922269
V250,0.0020739965
V168,0.0020302946
V268,0.0020195115
V259,0.0020122065
V333,0.001993424
V39,0.00196302
V204,0.0019624487
V167,0.0019596273
V158,0.0018875223
V3,0.0018301044
V335,0.0018206879
V169,0.0018202798
V182,0.0018105423
V123,0.0017955384
V42,0.0017835231
V274,0.0017711176
V97,0.0017665428
V288,0.0017107
V287,0.0017070761
V59,0.0017029091
V85,0.0016938011
V319,0.0016825531
V159,0.0016773926
V262,0.0016738568
V299,0.0016618893
V46,0.0016614703
V143,0.0016584608
V105,0.0016558144
V9,0.0016548777
V139,0.0016494022
V43,0.0016485291
V217,0.0016183893
V125,0.0015826644
addr2,0.0015818288
V73,0.0015756367
V271,0.0015331814
V164,0.0015234009
V84,0.0014792172
id_36,0.001472311
V207,0.0014547223
V229,0.0014400833
V234,0.00143752
V332,0.0014298876
V222,0.0014158023
V220,0.0014113658
V108,0.0014079242
V298,0.0014003849
V223,0.0013685271
V63,0.0013459243
V279,0.0013458558
V171,0.001330052
V80,0.0012822803
V256,0.0012666284
V323,0.0012662942
V215,0.0012422588
V179,0.0012333536
V251,0.0012307019
V263,0.0012261472
V214,0.0012106801
V338,0.0012084374
V166,0.0012058011
V200,0.0012029051
V228,0.0011938629
V300,0.0011865682
V100,0.0011796306
V31,0.0011770293
id_34,0.001165519
V92,0.0011626991
V188,0.0011461868
V210,0.0011325183
V244,0.001116755
V202,0.0011103817
V233,0.0011066728
V181,0.0011026124
V322,0.0010897905
V150,0.0010750726
V176,0.0010553511
V115,0.0010507934
V248,0.0010437518
V212,0.0009832889
V213,0.000977895
V303,0.00097554986
V286,0.00094649894
V192,0.0009358255
M1,0.0009353758
V161,0.0009000194
V326,0.0008998289
V232,0.0008304933
V141,0.00083028077
V21,0.0008142762
V301,0.0008120831
V304,0.0008047401
V327,0.0008019022
V148,0.00078371295
V337,0.0007752113
V109,0.00075189525
V184,0.0007317189
V193,0.00070850056
V278,0.0007037379
V208,0.00068990176
V235,0.0006867071
V270,0.00066800363
V191,0.0006500722
V103,0.0006248794
V32,0.0006233216
V273,0.0006173016
V183,0.00061634794
V242,0.00061415316
V101,0.0006040349
id_10,0.000601654
V253,0.0005923126
V272,0.0005886879
V142,0.0005853403
V295,0.00058198936
V199,0.00057076936
V17,0.0005636651
V16,0.00053722167
V144,0.0005301394
V331,0.00051679846
V329,0.00050740165
id_04,0.0005004703
V324,0.00049846026
V226,0.0004965535
V339,0.00048896245
id_16,0.00048738567
V239,0.00046740842
V334,0.00046720554
V146,0.00045777616
V147,0.00044645043
V275,0.00042232109
V104,0.00042175103
V254,0.00041431503
V22,0.00040579098
V246,0.00040279006
V190,0.00039901823
V216,0.0003968888
V302,0.00038594427
V163,0.00037480277
V255,0.00037435992
V116,0.00036121858
V18,0.00035159048
V227,0.00034245005
V151,0.00034005672
V185,0.00031836092
V284,0.00030982876
V106,0.00030288228
V198,0.0003019517
V174,0.00028757658
V93,0.0002692475
V211,0.00026753263
V238,0.00025690056
V112,0.0002510452
V249,0.00024443827
V153,0.00023932461
id_12,0.00023601911
V186,0.00022816622
V330,0.00022673122
V236,0.00021839578
V196,0.00021604662
V157,0.0002129884
V297,0.00020173864
V197,0.00018633618
V98,0.00017281115
V252,0.00016264153
V111,0.00015689351
V114,0.00014988617
V175,0.00014837441
V110,0.00013196775
V154,0.000121329154
V155,0.00010679016
V121,0.00010428572
V194,0.000102956365
V325,0.00010212908
V138,8.675877e-05
V247,8.4021165e-05
V240,7.40778e-05
V1,7.268491e-05
id_28,6.8456546e-05
V117,5.4786306e-05
V237,4.230449e-05
V27,3.309875e-05
V195,3.0600517e-05
V328,2.9014665e-05
V118,2.0747728e-05
id_35,1.4894401e-05
V68,5.2431637e-06
V14,4.6570235e-06
V120,3.3822168e-06
V119,2.9333628e-06
V113,1.2056317e-06
V88,0.0
V89,0.0
V107,0.0
has_identity,0.0
V122,0.0
V41,0.0
V65,0.0
V241,0.0
V305,0.0
id_29,0.0
V28,0.0
